thank you for watching.,"['thank', 'for', '.']"
we noticed people moving up thehill.,"['noticed', 'people', 'moving', 'up', '.']"
these initial reports of a law enforcement source saying the standoff has been resolved that the suspect is dead and this 5-year-old boy has been released and he is okay.,"['initial', 'reports', 'of', 'law', 'source', 'saying', 'the', 'standoff', 'has', 'resolved', 'that', 'the', 'suspect', 'is', 'and', '5-year-old', 'boy', 'has', 'been', 'and', 'is', 'okay', '.']"
"another thing that is interesting to note, earlier you had asked what we heard from the boy's family.","['thing', 'that', 'interesting', 'to', 'note', 'earlier', 'you', 'asked', 'what', 'heard', 'from', 'the', ""'s"", '.']"
"when there was a press conference earlier today while the standoff was still ongoing, a reporter asked the sheriff wally olsen, whether the child had been able to speak with his mother.","['when', 'was', 'a', 'conference', 'earlier', 'today', 'while', 'the', 'was', 'ongoing', ',', 'a', 'reporter', 'asked', 'sheriff', 'olsen', ',', 'whether', 'child', 'had', 'been', 'able', 'speak', 'his', '.']"
at that point the fbi stepped in and shut down the press conference.,"['that', 'the', 'fbi', 'in', 'and', 'shut', 'the', 'conference', '.']"
interesting to note there there were some apparent sensitivities about what contact the family was able to have with the boy through out this ordeal.,"['interesting', 'note', 'there', 'there', 'some', 'apparent', 'about', 'what', 'contact', 'family', 'able', 'to', 'with', 'the', 'boy', 'through', 'this', 'ordeal']"
once again it appears the standoff is finally over a law enforcement source saying theboy has been released and is apparently okay and the suspect is dead.,"['once', 'again', 'appears', 'the', 'is', 'finally', 'over', 'a', 'enforcement', 'saying', 'theboy', 'has', 'been', 'released', 'and', 'is', 'apparently', 'okay', 'the', 'suspect', 'is', 'dead']"
i can speak to that a little bit.,"['i', 'can', 'speak', 'that', 'little', '.']"
at one point there were indications that the suspect -- or there may have been a television in the bunker and they may have been watching some of the news coverage.,"['one', 'point', 'there', 'indications', 'that', 'the', '--', 'there', 'may', 'been', 'television', 'the', 'bunker', 'and', 'they', 'have', 'been', 'some', 'the', 'news', '.']"
"maybe that's why they were cutting off some of the questions some of the ideas and certainly some of the video that was going on with a lot of law enforcement people walking around mulling around didn't want to make mr. dykes do something out of fear, right?","['maybe', ""'s"", 'why', 'they', 'cutting', 'off', 'some', 'the', 'some', 'the', 'and', 'certainly', 'of', 'video', 'was', 'going', 'with', 'a', 'of', 'enforcement', 'walking', 'around', 'around', 'did', ""n't"", 'to', 'mr.', 'do', 'something', 'of', 'fear', ',', 'right', '?']"
he had electricity down in the bunker and we are told he had a television.,"['had', 'electricity', 'down', 'in', 'bunker', 'we', 'are', 'he', 'a', 'television', '.']"
"we don't know whether he was watching, whether he was using the tv to entertainment boy or whether he was watching news accounts.","['do', ""n't"", 'know', 'whether', 'was', ',', 'whether', 'he', 'using', 'tv', 'entertainment', 'boy', 'or', 'he', 'was', 'news', 'accounts', '.']"
certainly every one here every one in law enforcement was very aware everything that was going on in the area surrounding this bunker was potentially viewable on tv.,"['certainly', 'one', 'here', 'every', 'in', 'law', 'was', 'very', 'aware', 'everything', 'that', 'was', 'going', 'in', 'the', 'area', 'this', 'was', 'viewable', 'on', 'tv']"
so law enforcement maintained a very wide perimeter.all of the activity that was going on was actual loifr t-- actually over the hill.,"['so', 'law', 'enforcement', 'maintained', 'very', 'wide', 'perimeter.all', 'of', 'activity', 'was', 'going', 'was', 'actual', 'loifr', '--', 'actually', 'over', 'the', 'hill']"
law enforcement kept me here across the street and on the other side maintained a very wide perimeter so our cameras were not allowed to view what was going on in real time in the area surrounding the bunker.,"['law', 'enforcement', 'kept', 'here', 'across', 'street', 'on', 'the', 'side', 'a', 'wide', 'perimeter', 'so', 'our', 'were', 'not', 'allowed', 'to', 'what', 'going', 'on', 'in', 'real', 'time', 'the', 'area', 'the', 'bunker', '.']"
obviously law enforcement authorities were very concerned that mr. dykes might be watching what was unfolding on tv and didn't want to insight any violence.,"['obviously', 'law', 'enforcement', 'authorities', 'were', 'very', 'concerned', 'mr.', 'dykes', 'might', 'be', 'watching', 'what', 'unfolding', 'on', 'tv', 'did', ""n't"", 'to', 'insight', 'any', 'violence']"
from my perspective the law enforcement officials who have been keeping people informed have been very professional and giving as much information as they possibly could to the public that is very interested in the well-being of the little boy.,"['my', 'the', 'law', 'officials', 'who', 'have', 'been', 'people', 'informed', 'have', 'been', 'very', 'professional', 'and', 'giving', 'as', 'much', 'as', 'they', 'possibly', 'could', 'to', 'public', 'is', 'very', 'interested', 'the', 'of', 'the', 'boy', '.']"
"the press conference coming up do you expect they will be able to be more forthcoming with the details we are asking you that you have been trying to get but haven't been able to yet partly out of, sounds like, safety forthe boy.","['have', 'trying', 'the', 'up', 'been', 'to', 'forthe', '.', 'sounds', 'safety', 'be', ',', 'to', 'boy', 'you', 'partly', 'forthcoming', 'will', 'more', 'out', 'details', ',', 'conference', 'to', 'get', 'be', 'coming', 'have', 'press', 'you', 'yet', 'we', 'you', 'expect', 'are']"
"caution, yeah, out of an abundance of caution.","['caution', 'yeah', 'out', 'an', 'of', '.']"
every time the sheriff came out it was like he was almost apologizing to the media that he couldn't give us more information.,"['time', 'the', 'came', 'out', 'it', 'like', 'was', 'almost', 'to', 'media', 'that', 'he', 'could', 'give', 'more', 'information']"
seemed like there was stuff at the tip of his tongue that he wanted to share.,"['seemed', 'there', 'stuff', 'at', 'the', 'of', 'tongue', 'that', 'wanted', 'share', '.']"
but out of abundance of caution didn't want to do anything to jeopardize a peaceful resolution of this potentially violent standoff.,"['out', 'abundance', 'caution', 'did', 'want', 'to', 'do', 'anything', 'to', 'a', 'peaceful', 'resolution', 'this', 'potentially', 'standoff', '.']"
earlier today he said that he had a discussion with his own family and his mother told him some of the things that people were speculating about out in the community.,"['earlier', 'today', 'said', 'that', 'had', 'discussion', 'with', 'own', 'family', 'his', 'told', 'him', 'some', 'the', 'that', 'people', 'were', 'about', 'in', 'community']"
he said that he assured his mother that he and everyone in law enforcement were doing everything humanly possible to ensure the safety and the safe release of this little boy.,"['said', 'that', 'assured', 'mother', 'that', 'and', 'everyone', 'law', 'were', 'everything', 'humanly', 'to', 'ensure', 'the', 'safety', 'and', 'the', 'safe', 'release', 'this', 'little', '.']"
the other interesting thing that came out of today's press conference in particular the one that happened earlier today just before the fbi stepped in andshut down the press conference reporter had asked the sheriff whether the boy's family had been able to speak with him during the standoff.,"['other', 'interesting', 'thing', 'that', 'out', 'of', ""'s"", 'conference', 'in', 'the', 'one', 'that', 'earlier', 'today', 'before', 'the', 'stepped', 'in', 'andshut', 'down', 'the', 'conference', 'had', 'asked', 'the', 'whether', 'boy', 'family', 'been', 'able', 'to', 'speak', 'with', 'him', 'the', 'standoff']"
that's when the press conference abruptly ended.,"[""'s"", 'when', 'the', 'conference', 'abruptly', 'ended', '.']"
"it will be interesting to see if that actually turns out to be part of the negotiations whether they brought the boy's mother or someone close to the boy and enabled the conversation, perhaps playing at the heart strings of the suspect jimmy lee dykes.","['will', 'be', 'interesting', 'to', 'if', 'that', 'turns', 'to', 'be', 'part', 'the', 'whether', 'they', 'brought', 'boy', 'mother', 'or', 'close', 'the', 'boy', 'enabled', 'the', ',', 'perhaps', 'at', 'the', 'heart', 'of', 'suspect', 'jimmy', 'dykes', '.']"
we simply don't know.,"['simply', 'do', ""n't"", 'know', '.']"
at this point it's pure speculation.,"['this', 'it', ""'s"", 'speculation', '.']"
i am sure we will get an earful at the press conference that is up coming.,"['i', 'am', 'sure', 'will', 'get', 'an', 'at', 'the', 'conference', 'is', 'up', 'coming']"
one possibility there could have been some information i am parted in the conf-- imparted i conversation that would let the child know something was happening or he could move or maybe they didn't want to let the suspect know.,"['one', 'possibility', 'there', 'could', 'have', 'been', 'information', 'i', 'am', 'parted', 'in', 'conf', 'imparted', 'i', 'that', 'would', 'let', 'the', 'know', 'something', 'was', 'or', 'he', 'could', 'move', 'or', 'maybe', 'did', 'want', 'to', 'let', 'suspect', 'know']"
anything is possible at this point.,"['anything', 'is', 'possible', 'this', '.']"
it would be pure speculation.,"['would', 'be', 'pure', 'speculation', '.']"
i think i want to wait until theauthorities can confirm it at the news conference.,"['i', 'think', 'i', 'want', 'wait', 'until', 'can', 'confirm', 'it', 'at', 'news', '.']"
is there any reason -- i assume this press conference is supposed to be at the top of the hour eastern.,"['is', 'any', '--', 'i', 'this', 'press', 'conference', 'supposed', 'to', 'be', 'at', 'the', 'of', 'the', 'eastern']"
"it is now 16, 17 minutes after the hour.","['is', 'now', '16', ',', 'minutes', 'after', 'the', '.']"
is there any reason to assume something is going on that has held up the press conference?,"['is', 'any', 'to', 'assume', 'is', 'going', 'on', 'that', 'has', 'up', 'press', 'conference', '?']"
it's not uncommon through out this ordeal that the press conferences are scheduled and it occurs perhaps half an hour or even later than it was initially scheduled.,"[""'s"", 'not', 'uncommon', 'through', 'this', 'that', 'press', 'conferences', 'scheduled', 'it', 'occurs', 'perhaps', 'half', 'an', 'or', 'later', 'than', 'it', 'initially', '.']"
i think law enforcement is lining up that you are ducks getting the story straight so they can get into the press conference with coordinated effort and coordinate the facts that they are ready to release at this point.,"['i', 'think', 'law', 'enforcement', 'is', 'lining', 'that', 'are', 'getting', 'the', 'story', 'straight', 'they', 'can', 'get', 'into', 'press', 'conference', 'with', 'effort', 'coordinate', 'the', 'facts', 'they', 'are', 'ready', 'release', 'at', 'point', '.']"
i am not going to read too much into that just to say that there have been a lot of delayed press conferences.,"['i', 'am', 'not', 'going', 'read', 'too', 'much', 'into', 'just', 'say', 'that', 'have', 'been', 'lot', 'of', 'delayed', 'press', '.']"
"this is a very fluid situation that has been constantlyunfolding, and as the initial reports suggest significant positive investments in the standoff.","['is', 'a', 'fluid', 'situation', 'that', 'has', 'constantlyunfolding', ',', 'and', 'as', 'initial', 'suggest', 'positive', 'in', 'the', 'standoff', '.']"
a lot of information we are waiting for.,"['lot', 'of', 'we', 'are', 'for', '.']"
is it too soon to hear from the parents who are probably importantly tending to the child they have been separated from.,"['is', 'too', 'soon', 'to', 'from', 'the', 'who', 'probably', 'importantly', 'to', 'the', 'child', 'they', 'have', 'separated', '.']"
we will hear from the sheriff i image wally olsen and any one else you can confirm?,"['will', 'hear', 'from', 'sheriff', 'image', 'wally', 'olsen', 'and', 'any', 'one', 'you', 'confirm', '?']"
wally olsen the sheriff has been handling all of the press conferences to this point.,"['wally', 'olsen', 'sheriff', 'has', 'been', 'handling', 'all', 'the', 'conferences', 'this', 'point', '.']"
we assume we will hear from him and maybe also hear from fbi because they have a significant presence out here.,"['assume', 'we', 'hear', 'from', 'him', 'maybe', 'hear', 'fbi', 'because', 'they', 'have', 'significant', 'presence', 'here']"
adds for the family i would guess it is probably too early to hear from them.,"['adds', 'the', 'i', 'would', 'guess', 'it', 'is', 'too', 'early', 'to', 'hear', 'from', '.']"
i am sure the top priority right now is just reunifying them with their son and probably giving them some space to get backtogether to comfort the child and it would be wonderful if in the up coming days there would be some opportunity.,"['i', 'am', 'sure', 'top', 'priority', 'right', 'now', 'is', 'just', 'reunifying', 'them', 'their', 'and', 'giving', 'them', 'space', 'to', 'get', 'to', 'the', 'child', 'it', 'would', 'be', 'if', 'in', 'up', 'coming', 'there', 'be', 'some', 'opportunity', '.']"
